plural,male,female,title,male_eng,female_eng,male_cnt,female_cnt
Микулины,Микулин,Микулина,2,mikulin,mikulina,771,625
Микульшин,Микульшин,Микульшина,6,mikulshin,mikulshina,39,22
Миланкович,Миланкович,Миланкович,3,milankovich,milankovich,12,12
Милковичи,Милкович,Милкович,3,milkovich,milkovich,88,88
Милковичевы,Милковичев,Милковичева,3,milkovichev,milkovicheva,-,-
Миллеры,Миллер,Миллер,1,miller,miller,41539,41539
Миловидов,Миловидов,Миловидова,3,milovidov,milovidova,1329,1978
Милюковы,Милюков,Милюкова,1,miljukov,miljukova,3,1
Милютины,Милютин,Милютина,3,miljutin,miljutina,0,2
Миляев,Миляев,Миляева,3,milyaev,milyaeva,3661,5066
Мингалев,Мингалев,Мингалева,3,mingalev,mingaleva,703,894
Минде,Минде,Минде,2,minde,minde,2,2
Миндеры,Миндер,Миндер,3,minder,minder,82,82
Миндерер,Миндерер,Миндерер,2,minderer,minderer,0,0
Минервин,Минервин,Минервина,3,minervin,minervina,53,112
Минины,Минин,Минина,3,minin,minina,14441,18379
Миних,Миних,Миних,2,minikh,minikh,537,537
Минкевичи,Минкевич,Минкевич,1,minkevich,minkevich,565,565
Минуты,Минут,Минут,2,minut,minut,33,33
Минута,Минута,Минута,2,minuta,minuta,50,50
Мирзаев,Мирзаев,Мирзаева,3,mirzaev,mirzaeva,8721,2617
Мирзаханов,Мирзаханов,Мирзаханова,2,mirzakhanov,mirzakhanova,1033,504
Мирзоевы,Мирзоев,Мирзоева,1,mirzoev,mirzoeva,14879,5327
Миримановы,Мириманов,Мириманова,3,mirimanov,mirimanova,35,25
Мирицкий,Мирицкий,Мирицкая,2,miritsky,miritskaya,2,16
Миролюбовы,Миролюбов,Миролюбова,3,miroljubov,miroljubova,-,-
Мироновичи,Миронович,Миронович,3,mironovich,mironovich,1358,1358
Мироновские,Мироновский,Мироновская,3,mironovsky,mironovskaya,200,185
Миткевичи-Далецкие,Миткевич-Далецкий,Миткевич-Далецкая,6,mitkevich-daletsky,mitkevich-daletskaya,-,3
Митовкин,Митовкин,Митовкина,2,mitovkin,mitovkina,-,1
Митропольские,Митропольский,Митропольская,3,mitropolsky,mitropolskaya,172,268
Митрофановы,Митрофанов,Митрофанова,2,mitrofanov,mitrofanova,24841,29538
Митусовы,Митусов,Митусова,6,mitusov,mitusova,1245,1143
Митьковы,Митьков,Митькова,6,mitkov,mitkova,693,739
Михайловы,Михайлов,Михайлова,1,mikhaylov,mikhaylova,181262,209420
Михайловские,Михайловский,Михайловская,3,mikhaylovsky,mikhaylovskaya,4171,6369
Михалевы,Михалев,Михалева,1,mikhalev,mikhaleva,9447,10778
Михалевский,Михалевский,Михалевская,3,mikhalevsky,mikhalevskaya,457,486
Михалков,Михалков,Михалкова,6,mikhalkov,mikhalkova,2755,2363
Михин,Михин,Михина,2,mikhin,mikhina,2864,3311
Михневы,Михнев,Михнева,3,mikhnev,mikhneva,611,461
Мишели,Мишели,Мишели,1,misheli,misheli,1,1
Мишель,Мишель,Мишель,1,mishel,mishel,18,18
Мишины,Мишин,Мишина,1,mishin,mishina,29842,33138
Младенцов,Младенцов,Младенцова,3,mladentsov,mladentsova,5,2
Млодзеевские,Млодзеевский,Млодзеевская,6,mlodzeevsky,mlodzeevskaya,-,-
Младзиевские,Младзиевский,Младзиевская,6,mladzievsky,mladzievskaya,5,9
Мниовы,Мниов,Мниова,1,mniov,mniova,-,-
Могилевичи,Могилевич,Могилевич,3,mogilevich,mogilevich,317,317
Модестов,Модестов,Модестова,3,modestov,modestova,327,458
Молестов,Молестов,Молестова,3,molestov,molestova,-,-
Модзолевский,Модзолевский,Модзолевская,3,modzolevsky,modzolevskaya,4,12
Модзалевский,Модзалевский,Модзалевская,3,modzalevsky,modzalevskaya,19,35
Мадзолевский,Мадзолевский,Мадзолевская,3,madzolevsky,madzolevskaya,-,-
Можаровы,Можаров,Можарова,2,mozharov,mozharova,1428,1546
Мозгов,Мозгов,Мозгова,2,mozgov,mozgova,890,709
Моисеевы,Моисеев,Моисеева,2,moiseev,moiseeva,52647,55806
Мокроусов,Мокроусов,Мокроусова,3,mokrousov,mokrousova,4175,3665
Моласы,Молас,Молас,3,molas,molas,2,2
Молдавцев,Молдавцев,Молдавцева,2,moldavtsev,moldavtseva,2,0
Молнары,Молнар,Молнар,3,molnar,molnar,486,486
Моложениновы,Моложенинов,Моложенинова,3,molozheninov,molozheninova,-,-
Маложениновы,Маложенинов,Маложенинова,3,malozheninov,malozheninova,-,-
Молчановы,Молчанов,Молчанова,2,molchanov,molchanova,25107,31295
Малчановы,Малчанов,Малчанова,2,malchanov,malchanova,74,52
Мольтрех,Мольтрех,Мольтрех,3,moltrekh,moltrekh,-,-
Монаковы,Монаков,Монакова,2,monakov,monakova,886,1013
Манаковы,Манаков,Манакова,2,manakov,manakova,4764,5261
Монигетти,Монигетти,Монигетти,3,monigetti,monigetti,8,8
Моничетти,Моничетти,Моничетти,3,monichetti,monichetti,3,3
Моравский,Моравский,Моравская,1,moravsky,moravskaya,70,73
Мордвиновы,Мордвинов,Мордвинова,2,mordvinov,mordvinova,2779,3050
Морибели,Морибели,Морибели,3,moribeli,moribeli,-,-
Морибель,Морибель,Морибель,3,moribel,moribel,4,4
Мориц,Мориц,Мориц,3,morits,morits,157,157
Морковы,Морков,Моркова,5,morkov,morkova,147,51
Морозы,Мороз,Мороз,3,moroz,moroz,38222,38222
Морозовы,Морозов,Морозова,1,morozov,morozova,194993,240256
Марозовы,Марозов,Марозова,1,marozov,marozova,603,456
Морошкины,Морошкин,Морошкина,3,moroshkin,moroshkina,801,712
Мосоловы,Мосолов,Мосолова,2,mosolov,mosolova,2202,2249
Мостовский,Мостовский,Мостовская,3,mostovsky,mostovskaya,43,214
Мохов,Мохов,Мохова,2,mokhov,mokhova,9093,9591
Мохтин,Мохтин,Мохтина,3,mokhtin,mokhtina,5,4
Мошинский,Мошинский,Мошинская,2,moshinsky,moshinskaya,99,69
Мошковы,Мошков,Мошкова,2,moshkov,moshkova,3246,3660
Мошнин,Мошнин,Мошнина,3,moshnin,moshnina,365,408
Мсерианц,Мсерианц,Мсерианц,3,mseriants,mseriants,-,-
Мудровы,Мудров,Мудрова,3,mudrov,mudrova,1351,1888
Музовский,Музовский,Музовская,1,muzovsky,muzovskaya,-,1
Мумякины,Мумякин,Мумякина,2,mumyakin,mumyakina,-,-
Муравлевы,Муравлев,Муравлева,3,muravlev,muravleva,947,929
Муравьевы,Муравьев,Муравьева,3,muravev,muraveva,8055,10601
Муровьевы,Муровьев,Муровьева,3,murovev,muroveva,19,14
Мурановы,Муранов,Муранова,2,muranov,muranova,1242,1207
Мураров,Мураров,Мурарова,2,murarov,murarova,4,2
Муратовы,Муратов,Муратова,3,muratov,muratova,20191,19180
Мурахины,Мурахин,Мурахина,2,murakhin,murakhina,118,120
Мурзахановы,Мурзаханов,Мурзаханова,2,murzakhanov,murzakhanova,669,661
Мурзин,Мурзин,Мурзина,3,murzin,murzina,10368,13369
Мурзинские,Мурзинский,Мурзинская,2,murzinsky,murzinskaya,40,47
Муровлев,Муровлев,Муровлева,3,murovlev,murovleva,-,-
Муровский,Муровский,Муровская,3,murovsky,murovskaya,11,13
Муромцовы,Муромцов,Муромцова,3,muromtsov,muromtsova,2,0
Муромцевы,Муромцев,Муромцева,3,muromtsev,muromtseva,1871,2336
Мусин-Пушкин,Мусин-Пушкин,Мусина-Пушкина,5,musin-pushkin,musina-pushkina,15,2
Муфель,Муфель,Муфель,1,mufel,mufel,9,9
Мухановы,Муханов,Муханова,6,mukhanov,mukhanova,3174,2662
Мухины,Мухин,Мухина,2,mukhin,mukhina,28582,28338
Мыльниковы,Мыльников,Мыльникова,2,mylnikov,mylnikova,5357,5538
Мышенков,Мышенков,Мышенкова,6,myshenkov,myshenkova,279,275
Мышецкий,Мышецкий,Мышецкая,2,myshetsky,myshetskaya,-,1
Мюллер,Мюллер,Мюллер,5,mjuller,mjuller,1,1
Мякишевы,Мякишев,Мякишева,2,myakishev,myakisheva,3827,5635
Мясников,Мясников,Мясникова,3,myasnikov,myasnikova,17124,17824
Мясоедовы,Мясоедов,Мясоедова,3,myasoedov,myasoedova,2298,2247
Мятлев,Мятлев,Мятлева,6,myatlev,myatleva,66,176
Мячиков,Мячиков,Мячикова,2,myachikov,myachikova,328,237
Мячковы,Мячков,Мячкова,4,myachkov,myachkova,123,192
Мячов,Мячов,Мячова,6,myachov,myachova,4,-
Набоковы,Набоков,Набокова,3,nabokov,nabokova,2749,2472
Наваговский,Наваговский,Наваговская,2,navagovsky,navagovskaya,-,-
Навагонский,Навагонский,Навагонская,2,navagonsky,navagonskaya,-,-
Навацкий,Навацкий,Навацкая,3,navatsky,navatskaya,13,42
Навержский,Навержский,Навержская,3,naverzhsky,naverzhskaya,-,-
Навережский,Навережский,Навережская,3,naverezhsky,naverezhskaya,-,-
Навродский,Навродский,Навродская,3,navrodsky,navrodskaya,57,66
Навроцкие,Навроцкий,Навроцкая,2,navrotsky,navrotskaya,112,668
Нагаев,Нагаев,Нагаева,4,nagaev,nagaeva,8672,5387
Нагели,Нагели,Нагели,3,nageli,nageli,0,0
Нагель,Нагель,Нагель,3,nagel,nagel,657,657
Начель,Начель,Начель,3,nachel,nachel,0,0
Нагибины,Нагибин,Нагибина,2,nagibin,nagibina,4917,2740
Нагишкин,Нагишкин,Нагишкина,2,nagishkin,nagishkina,20,24
Нагоров,Нагоров,Нагорова,3,nagorov,nagorova,179,155
Нагорские,Нагорский,Нагорская,3,nagorsky,nagorskaya,322,271
Надеждины,Надеждин,Надеждина,3,nadezhdin,nadezhdina,1482,2123
Назаревские,Назаревский,Назаревская,3,nazarevsky,nazarevskaya,129,183
Назаровы,Назаров,Назарова,2,nazarov,nazarova,78104,92892
Назартев,Назартев,Назартева,3,nazartev,nazarteva,-,-
Назарьевы,Назарьев,Назарьева,2,nazarev,nazareva,549,454
Назарьянц,Назарьянц,Назарьянц,3,nazaryants,nazaryants,370,370
Назимовы,Назимов,Назимова,3,nazimov,nazimova,1652,1636
Налетовы,Налетов,Налетова,1,naletov,naletova,868,1506
Наливкин,Наливкин,Наливкина,3,nalivkin,nalivkina,985,973
Налойченко,Налойченко,Налойченко,3,naloychenko,naloychenko,2,2
Наназин,Наназин,Наназина,4,nanazin,nanazina,-,-
Нарбековы,Нарбеков,Нарбекова,4,narbekov,narbekova,478,610
Нарбут,Нарбут,Нарбут,2,narbut,narbut,219,219
Наров,Наров,Нарова,2,narov,narova,82,59
Норов,Норов,Норова,2,norov,norova,1008,637
Нарожницкий,Нарожницкий,Нарожницкая,3,narozhnitsky,narozhnitskaya,-,2
Нарышкины,Нарышкин,Нарышкина,2,naryshkin,naryshkina,1834,3207
Насакины,Насакин,Насакина,3,nasakin,nasakina,333,226
Насекин,Насекин,Насекина,2,nasekin,nasekina,614,581
Насов,Насов,Насова,2,nasov,nasova,6,7
Насоновы,Насонов,Насонова,1,nasonov,nasonova,7753,9351
Насоев,Насоев,Насоева,1,nasoev,nasoeva,14,3
Натучи,Натучи,Натучи,2,natuchi,natuchi,0,0
Натуччи,Натуччи,Натуччи,2,natuchchi,natuchchi,-,-
Науменко,Науменко,Науменко,2,naumenko,naumenko,27020,27020
Наумовы,Наумов,Наумова,1,naumov,naumova,63574,69550
Нахимовы,Нахимов,Нахимова,2,nakhimov,nakhimova,462,511
Нащокины,Нащокин,Нащокина,6,naschokin,naschokina,1,1
Нащекины,Нащекин,Нащекина,6,naschekin,naschekina,59,46
Небольсины,Небольсин,Небольсина,3,nebolsin,nebolsina,1170,1019
Невежины,Невежин,Невежина,3,nevezhin,nevezhina,820,913
Неверов,Неверов,Неверова,2,neverov,neverova,6313,8546
Невинский,Невинский,Невинская,2,nevinsky,nevinskaya,160,163
Невский,Невский,Невская,3,nevsky,nevskaya,4104,6093
Недосекин,Недосекин,Недосекина,1,nedosekin,nedosekina,815,718
Недремский,Недремский,Недремская,3,nedremsky,nedremskaya,1,-
Нееловы,Неелов,Неелова,2,neelov,neelova,111,180
Неждановы,Нежданов,Нежданова,2,nezhdanov,nezhdanova,1272,1535
Нейдгарты,Нейдгарт,Нейдгарт,2,neydgart,neydgart,-,-
Нейдгардт,Нейдгардт,Нейдгардт,2,neydgardt,neydgardt,-,-
Неклюдовы,Неклюдов,Неклюдова,3,nekljudov,nekljudova,0,1
Некрасовы,Некрасов,Некрасова,1,nekrasov,nekrasova,39642,48436
Нелединские-Мелецкие,Нелединский-Мелецкий,Нелединская-Мелецкая,4,neledinskiy-meletsky,neledinskaya-meletskaya,-,-
Нелидов,Нелидов,Нелидова,6,nelidov,nelidova,517,582
Немиры,Немир,Немир,2,nemir,nemir,7,7
Немира,Немира,Немира,2,nemira,nemira,56,56
Немов,Немов,Немова,2,nemov,nemova,5490,4017
Немчиновы,Немчинов,Немчинова,2,nemchinov,nemchinova,2398,4208
Неопалимовские,Неопалимовский,Неопалимовская,3,neopalimovsky,neopalimovskaya,-,-
Неофитов,Неофитов,Неофитова,3,neofitov,neofitova,113,96
Непенин,Непенин,Непенина,3,nepenin,nepenina,1,3
Непокойчицкий,Непокойчицкий,Непокойчицкая,6,nepokoychitsky,nepokoychitskaya,-,8
Непорожневы,Непорожнев,Непорожнева,1,neporozhnev,neporozhneva,132,85
Нероновы,Неронов,Неронова,6,neronov,neronova,1750,890
Несвицкие,Несвицкий,Несвицкая,5,nesvitsky,nesvitskaya,8,26
Неслов,Неслов,Неслова,3,neslov,neslova,1,3
Несслер,Несслер,Несслер,3,nessler,nessler,28,28
Нестеровы,Нестеров,Нестерова,1,nesterov,nesterova,51145,57076
Несторовы,Несторов,Несторова,1,nestorov,nestorova,60,52
Нестеровские,Нестеровский,Нестеровская,2,nesterovsky,nesterovskaya,157,128
Нефедьевы,Нефедьев,Нефедьева,3,nefedev,nefedeva,1213,1786
Нехаев,Нехаев,Нехаева,3,nekhaev,nekhaeva,1753,2346
Нецветаевы,Нецветаев,Нецветаева,3,netsvetaev,netsvetaeva,1082,1160
Нечаевы,Нечаев,Нечаева,2,nechaev,nechaeva,33262,34329
Низовкин,Низовкин,Низовкина,1,nizovkin,nizovkina,360,345
Никитенков,Никитенков,Никитенкова,2,nikitenkov,nikitenkova,1057,1093
Никитины,Никитин,Никитина,1,nikitin,nikitina,145844,172419
Никитинские,Никитинский,Никитинская,3,nikitinsky,nikitinskaya,881,1139
Никитников,Никитников,Никитникова,3,nikitnikov,nikitnikova,12,18
Никитский,Никитский,Никитская,2,nikitsky,nikitskaya,234,202
Никифоровы,Никифоров,Никифорова,2,nikiforov,nikiforova,60536,62715
Николаевы,Николаев,Николаева,1,nikolaev,nikolaeva,163507,179334
Николасы,Николас,Николас,3,nikolas,nikolas,2507,2507
Николаус,Николаус,Николаус,3,nikolaus,nikolaus,33,33
Николевы,Николев,Николева,2,nikolev,nikoleva,61,61
Никольские,Никольский,Никольская,1,nikolsky,nikolskaya,5958,8202
Николя,Николя,Николя,2,nikolya,nikolya,111,111
Никоновы,Никонов,Никонова,1,nikonov,nikonova,27495,34915
Никулин,Никулин,Никулина,6,nikulin,nikulina,40678,46053
Нилус,Нилус,Нилус,2,nilus,nilus,14,14
Нитрам,Нитрам,Нитрам,3,nitram,nitram,9,9
Ницман,Ницман,Ницман,3,nitsman,nitsman,61,61
Нищенков,Нищенков,Нищенкова,2,nischenkov,nischenkova,6,1
Новиковы,Новиков,Новикова,2,novikov,novikova,205699,257629
Новицкие,Новицкий,Новицкая,1,novitsky,novitskaya,965,7112
Новоженин,Новоженин,Новоженина,2,novozhenin,novozhenina,920,1030
Новомеенин,Новомеенин,Новомеенина,2,novomeenin,novomeenina,-,-
Новомлинские,Новомлинский,Новомлинская,2,novomlinsky,novomlinskaya,192,220
Новосельские,Новосельский,Новосельская,2,novoselsky,novoselskaya,600,575
Новосильцевы,Новосильцев,Новосильцева,2,novosiltsev,novosiltseva,180,103
Новосильцовы,Новосильцов,Новосильцова,2,novosiltsov,novosiltsova,-,-
Новасильцовы,Новасильцов,Новасильцова,2,novasiltsov,novasiltsova,-,-
Новохатный,Новохатный,Новохатная,2,novokhatnyy,novokhatnaya,5,14
Нольде,Нольде,Нольде,3,nolde,nolde,34,34
Нолькен,Нолькен,Нолькен,5,nolken,nolken,6,6
Норманы,Норман,Норман,2,norman,norman,370,370
Носковы,Носков,Носкова,3,noskov,noskova,22858,24296
Носовы,Носов,Носова,1,nosov,nosova,30505,32611
Ностиц,Ностиц,Ностиц,5,nostits,nostits,2,2
Нотара,Нотара,Нотара,4,notara,notara,0,0
Нотар,Нотар,Нотар,4,notar,notar,1,1
Нудольские,Нудольский,Нудольская,1,nudolsky,nudolskaya,-,-
Обер,Обер,Обер,3,ober,ober,81,81
Обитаев,Обитаев,Обитаева,3,obitaev,obitaeva,1,6
Облеухов,Облеухов,Облеухова,6,obleukhov,obleukhova,80,69
Ободовские,Ободовский,Ободовская,3,obodovsky,obodovskaya,129,141
Оболдуев,Оболдуев,Оболдуева,6,obolduev,oboldueva,19,6
Оболенские,Оболенский,Оболенская,3,obolensky,obolenskaya,1173,1748
Оболенские-Нелединские-Мелецкие,Оболенский-Нелединский-Мелецкий,Оболенская-Нелединская-Мелецкая,5,obolenskiy-neledinskiy-meletsky,obolenskaya-neledinskaya-meletskaya,-,-
Оболешев,Оболешев,Оболешева,2,oboleshev,obolesheva,23,73
Оболонский,Оболонский,Оболонская,1,obolonsky,obolonskaya,482,567
Обольяниновы,Обольянинов,Обольянинова,6,obolyaninov,obolyaninova,-,3
Обольнянинов,Обольнянинов,Обольнянинова,6,obolnyaninov,obolnyaninova,-,-
Обошинские,Обошинский,Обошинская,3,oboshinsky,oboshinskaya,-,-
Обашинские,Обашинский,Обашинская,3,obashinsky,obashinskaya,-,-
Образцов,Образцов,Образцова,3,obraztsov,obraztsova,4572,5835
Обрезков,Обрезков,Обрезкова,2,obrezkov,obrezkova,900,653
Обресковы,Обресков,Обрескова,3,obreskov,obreskova,1,1
Обуховы,Обухов,Обухова,2,obukhov,obukhova,19012,23121
Оверы,Овер,Овер,3,over,over,23,23
Овсянников,Овсянников,Овсянникова,6,ovsyannikov,ovsyannikova,23617,23811
Овчинниковы,Овчинников,Овчинникова,3,ovchinnikov,ovchinnikova,59809,69023
Огаревы,Огарев,Огарева,4,ogarev,ogareva,471,425
Огарковы,Огарков,Огаркова,2,ogarkov,ogarkova,2827,3327
Оглоблин,Оглоблин,Оглоблина,3,ogloblin,ogloblina,1472,1124
Огневы,Огнев,Огнева,3,ognev,ogneva,6072,8479
Одинцовы,Одинцов,Одинцова,2,odintsov,odintsova,11416,15645
Одоевские,Одоевский,Одоевская,5,odoevsky,odoevskaya,125,150
Озерецковский,Озерецковский,Озерецковская,3,ozeretskovsky,ozeretskovskaya,26,54
Озеровы,Озеров,Озерова,2,ozerov,ozerova,12081,9760
Окользины,Окользин,Окользина,1,okolzin,okolzina,335,353
Окольничие,Окольничий,Окольничая,2,okolnichy,okolnichaya,-,13
Оконишников,Оконишников,Оконишникова,2,okonishnikov,okonishnikova,19,12
Окромчеделов-Серебряков,Окромчеделов-Серебряков,Окромчеделова-Серебрякова,3,okromchedelov-serebryakov,okromchedelova-serebryakova,-,-
Окуловы,Окулов,Окулова,6,okulov,okulova,3780,4337
Окуньков,Окуньков,Окунькова,3,okunkov,okunkova,540,433
Оленев,Оленев,Оленева,3,olenev,oleneva,2151,2277
Оленины,Оленин,Оленина,2,olenin,olenina,1656,1836
Олив,Олив,Олив,2,oliv,oliv,9,9
Оливьери,Оливьери,Оливьери,2,oliveri,oliveri,1,1
Оловы,Олов,Олова,3,olov,olova,51,50
Олсуфьевы,Олсуфьев,Олсуфьева,6,olsufev,olsufeva,7,5
Ольшанский,Ольшанский,Ольшанская,3,olshansky,olshanskaya,1048,1617
Ольшевский,Ольшевский,Ольшевская,3,olshevsky,olshevskaya,1055,1526
Онихимовские,Онихимовский,Онихимовская,1,onikhimovsky,onikhimovskaya,5,4
Оппели,Оппели,Оппели,3,oppeli,oppeli,0,0
Оппель,Оппель,Оппель,3,oppel,oppel,14,14
Оранские,Оранский,Оранская,3,oransky,oranskaya,183,237
Ордовский-Танаевский,Ордовский-Танаевский,Ордовская-Танаевская,2,ordovskiy-tanaevsky,ordovskaya-tanaevskaya,-,6
Орехов,Орехов,Орехова,2,orekhov,orekhova,18458,23567
Орловы,Орлов,Орлова,1,orlov,orlova,140463,153333
Орловы-Давыдовы,Орлов-Давыдов,Орлова-Давыдова,5,orlov-davydov,orlova-davydova,-,1
Орлов-Чесменский,Орлов-Чесменский,Орлова-Чесменская,5,orlov-chesmensky,orlova-chesmenskaya,-,-
Орловские,Орловский,Орловская,3,orlovsky,orlovskaya,3927,4817
Орский,Орский,Орская,3,orsky,orskaya,612,783
Орфано,Орфано,Орфано,1,orfano,orfano,2,2
Орфенов,Орфенов,Орфенова,3,orfenov,orfenova,4,7
Осетровы,Осетров,Осетрова,2,osetrov,osetrova,2988,3282
Осинские,Осинский,Осинская,3,osinsky,osinskaya,562,565
Осиповы,Осипов,Осипова,1,osipov,osipova,79085,94158
Осипович,Осипович,Осипович,6,osipovich,osipovich,901,901
Осиповский,Осиповский,Осиповская,3,osipovsky,osipovskaya,114,101
Ослопов,Ослопов,Ослопова,2,oslopov,oslopova,116,142
Осоргины,Осоргин,Осоргина,6,osorgin,osorgina,229,291
Оссовецкий,Оссовецкий,Оссовецкая,6,ossovetsky,ossovetskaya,0,-
Осташевские,Осташевский,Осташевская,2,ostashevsky,ostashevskaya,165,256
Остен,Остен,Остен,3,osten,osten,62,62
Остерманы,Остерман,Остерман,5,osterman,osterman,142,142
Острецовы,Острецов,Острецова,6,ostretsov,ostretsova,952,581
Островские,Островский,Островская,3,ostrovsky,ostrovskaya,20751,10458
Остроглазовы,Остроглазов,Остроглазова,3,ostroglazov,ostroglazova,130,152
Острогожские,Острогожский,Острогожская,3,ostrogozhsky,ostrogozhskaya,46,4
Острогорский,Острогорский,Острогорская,3,ostrogorsky,ostrogorskaya,50,52
Остроумов,Остроумов,Остроумова,3,ostroumov,ostroumova,1096,1269
Осьминин,Осьминин,Осьминина,2,osminin,osminina,1029,1037
Отрадинские,Отрадинский,Отрадинская,3,otradinsky,otradinskaya,6,23
Офросимовы,Офросимов,Офросимова,4,ofrosimov,ofrosimova,8,21
Охернал,Охернал,Охернал,3,okhernal,okhernal,-,-
Охотниковы,Охотников,Охотникова,2,okhotnikov,okhotnikova,4036,4483
Очаков,Очаков,Очакова,6,ochakov,ochakova,113,56
Ошанин,Ошанин,Ошанина,2,oshanin,oshanina,56,63
Павлиновы,Павлинов,Павлинова,3,pavlinov,pavlinova,1177,1321
Павловы,Павлов,Павлова,2,pavlov,pavlova,188495,223226
Павловские,Павловский,Павловская,2,pavlovsky,pavlovskaya,6723,7977
Падалка,Падалка,Падалка,3,padalka,padalka,1524,1524
Паженкопфы,Паженкопф,Паженкопф,3,pazhenkopf,pazhenkopf,-,-
Пайков,Пайков,Пайкова,2,paykov,paykova,363,481
Панков?,Панков,Панкова,2,pankov,pankova,28580,26208
Палагины,Палагин,Палагина,1,palagin,palagina,2496,3481
Палажченко,Палажченко,Палажченко,3,palazhchenko,palazhchenko,96,96
Полажченко,Полажченко,Полажченко,3,polazhchenko,polazhchenko,0,0
Палеолог,Палеолог,Палеолог,3,paleolog,paleolog,23,23
Палехов,Палехов,Палехова,2,palekhov,palekhova,283,479
Палиловы,Палилов,Палилова,3,palilov,palilova,301,351
Палицын,Палицын,Палицына,6,palitsyn,palitsyna,303,430
Палладиевы,Палладиев,Палладиева,2,palladiev,palladieva,3,5
Пальчиков,Пальчиков,Пальчикова,6,palchikov,palchikova,3008,2598
Панафидин,Панафидин,Панафидина,6,panafidin,panafidina,446,492
Панин,Панин,Панина,5,panin,panina,25939,27028
Панкратьев,Панкратьев,Панкратьева,3,pankratev,pankrateva,910,1017
Пановы,Панов,Панова,3,panov,panova,43543,46394
Пантелеевы,Пантелеев,Пантелеева,1,panteleev,panteleeva,17661,18388
Пантов,Пантов,Пантова,3,pantov,pantova,34,26
Панцыревы,Панцырев,Панцырева,1,pantsyrev,pantsyreva,94,200
Панютины,Панютин,Панютина,6,panjutin,panjutina,0,-
Пападичевы,Пападичев,Пападичева,3,papadichev,papadicheva,7,1
Папины,Папин,Папина,1,papin,papina,2008,2690
Папковы,Папков,Папкова,1,papkov,papkova,681,822
Попковы,Попков,Попкова,1,popkov,popkova,19004,16433
Папчинский,Папчинский,Папчинская,2,papchinsky,papchinskaya,3,4
Париамоновы,Париамонов,Париамонова,4,pariamonov,pariamonova,-,-
Париамановы,Париаманов,Париаманова,4,pariamanov,pariamanova,-,-
Парлу,Парлу,Парлу,2,parlu,parlu,0,0
Парначевы,Парначев,Парначева,3,parnachev,parnacheva,155,170
Парпуры,Парпур,Парпур,3,parpur,parpur,-,-
Парпура,Парпура,Парпура,3,parpura,parpura,187,187
Порпур,Порпур,Порпур,3,porpur,porpur,-,-
Парусников,Парусников,Парусникова,3,parusnikov,parusnikova,37,47
Паряевы,Паряев,Паряева,1,paryaev,paryaeva,31,65
Пасевьевы,Пасевьев,Пасевьева,3,pasevev,paseveva,0,0
Пасхаловы,Пасхалов,Пасхалова,3,paskhalov,paskhalova,80,67
Патрики,Патрики,Патрики,2,patriki,patriki,16,16
Патрик,Патрик,Патрик,2,patrik,patrik,831,831
Патрикеевы,Патрикеев,Патрикеева,3,patrikeev,patrikeeva,2539,2540
Патракеевы,Патракеев,Патракеева,3,patrakeev,patrakeeva,856,1032
Паушев,Паушев,Паушева,3,paushev,pausheva,76,110
Пафнутьевы,Пафнутьев,Пафнутьева,1,pafnutev,pafnuteva,162,69
Пахорские,Пахорский,Пахорская,3,pakhorsky,pakhorskaya,33,10
Пацовские,Пацовский,Пацовская,2,patsovsky,patsovskaya,21,11
Поцовские,Поцовский,Поцовская,2,potsovsky,potsovskaya,-,1
Паш,Паш,Паш,2,pash,pash,100,100
Пашкевичи,Пашкевич,Пашкевич,3,pashkevich,pashkevich,4326,4326
Пашковы,Пашков,Пашкова,2,pashkov,pashkova,14939,15926
Пащенко,Пащенко,Пащенко,3,paschenko,paschenko,4231,4231
Певницкие,Певницкий,Певницкая,3,pevnitsky,pevnitskaya,17,44
Певницыны,Певницын,Певницына,3,pevnitsyn,pevnitsyna,-,-
Пегелау,Пегелау,Пегелау,2,pegelau,pegelau,-,-
Почелау,Почелау,Почелау,2,pochelau,pochelau,-,-
Пеичи,Пеич,Пеич,2,peich,peich,5,5
Пейчи,Пейчи,Пейчи,2,peychi,peychi,0,0
Пейч,Пейч,Пейч,2,peych,peych,359,359
Пейкеры,Пейкер,Пейкер,3,peyker,peyker,11,11
Пекгольды,Пекгольд,Пекгольд,3,pekgold,pekgold,-,-
Пекгольф,Пекгольф,Пекгольф,3,pekgolf,pekgolf,-,-
Пелецкие,Пелецкий,Пелецкая,3,peletsky,peletskaya,21,110
Пельские,Пельский,Пельская,3,pelsky,pelskaya,0,-
Пельты,Пельт,Пельт,3,pelt,pelt,19,19
Пенкины,Пенкин,Пенкина,3,penkin,penkina,4352,3845
Перваго,Перваго,Перваго,1,pervago,pervago,15,15
Первой,Первой,Первая,1,pervoy,pervaya,164,803
Первухин,Первухин,Первухина,3,pervukhin,pervukhina,6141,2935
Перегудов,Перегудов,Перегудова,3,peregudov,peregudova,5600,4087
Перелогов,Перелогов,Перелогова,3,perelogov,perelogova,9,11
Перепелкин,Перепелкин,Перепелкина,3,perepelkin,perepelkina,2065,2026
Переслегин,Переслегин,Переслегина,3,pereslegin,pereslegina,160,237
Перковы,Перков,Перкова,2,perkov,perkova,1675,1883
Перловы,Перлов,Перлова,1,perlov,perlova,859,898
